Country,Region,Happiness.Rank,Happiness.Score,Economy..GDP.per.Capita.,Family,Health..Life.Expectancy.,Freedom,Generosity,Trust..Government.Corruption.,Dystopia.Residual,Year,Income_Status
Argentina,Latin America and Caribbean,24,6.598999977,1.185295463,1.440451145,0.6951370835,0.4945192039,0.1094570607,0.05973988771,2.614005327,2017,Middle Income
Mexico,Latin America and Caribbean,25,6.578000069,1.153183818,1.21086216,0.7099789977,0.4127300084,0.1209904328,0.1327741146,2.837154865,2017,Middle Income
Singapore,Southeastern Asia,26,6.572000027,1.69227767,1.353814363,0.9494923949,0.5498405695,0.3459659815,0.464307785,1.216362,2017,Wealthy
Malta,Western Europe,27,6.52699995,1.343279839,1.488411665,0.8219442368,0.5887670517,0.5747305751,0.1530660689,1.556862831,2017,Wealthy
Uruguay,Latin America and Caribbean,28,6.453999996,1.217559695,1.412227869,0.7192168236,0.5793922544,0.1750969291,0.1780618727,2.172409534,2017,Middle Income
Guatemala,Latin America and Caribbean,29,6.453999996,0.872001946,1.255585194,0.5402399898,0.5313106179,0.2834883928,0.07722327858,2.893891096,2017,Middle Income
Panama,Latin America and Caribbean,30,6.452000141,1.233748436,1.373192549,0.7061561346,0.550026834,0.2105569392,0.07098392397,2.307199955,2017,Middle Income
France,Western Europe,31,6.441999912,1.430923462,1.387776852,0.8444658518,0.4702221155,0.1297623068,0.1725024283,2.005954742,2017,Wealthy
Thailand,Southeastern Asia,32,6.423999786,1.127868772,1.425792456,0.6472390294,0.5802007318,0.5721231103,0.03161273524,2.039508343,2017,Middle Income
Taiwan Province of China,Eastern Asia,33,6.421999931,1.433626533,1.384565353,0.7939842343,0.3614665866,0.2583604753,0.06382923573,2.126607418,2017,Wealthy
Spain,Western Europe,34,6.402999878,1.384397864,1.532090902,0.8889605999,0.4087812304,0.1901335716,0.07091409713,1.92775774,2017,Wealthy
Qatar,Middle East and Northern Africa,35,6.375,1.870765686,1.27429688,0.7100980878,0.6041309834,0.33047387,0.4392992556,1.14546442,2017,Wealthy
Colombia,Latin America and Caribbean,36,6.356999874,1.070622325,1.402182937,0.5950279236,0.4774874151,0.149014473,0.04666874185,2.616068125,2017,Middle Income
Saudi Arabia,Middle East and Northern Africa,37,6.343999863,1.530623555,1.286677599,0.5901483297,0.4497505724,0.1476160139,0.2734322548,2.065429688,2017,Wealthy
Trinidad and Tobago,Latin America and Caribbean,38,6.168000221,1.361355901,1.380228519,0.5199832916,0.518630743,0.3252964616,0.008964816108,2.053247452,2017,Wealthy
Kuwait,Middle East and Northern Africa,39,6.105000019,1.632952452,1.259698749,0.6321057081,0.4963375926,0.2282897979,0.2151595503,1.640425205,2017,Wealthy
Slovakia,Central and Eastern Europe,40,6.09800005,1.325393558,1.505059242,0.7127329111,0.2958174646,0.1365444809,0.02421085164,2.097776651,2017,Wealthy
Bahrain,Middle East and Northern Africa,41,6.086999893,1.488412261,1.323110461,0.6531330347,0.5367469192,0.1726684868,0.2570421696,1.656149387,2017,Wealthy
Malaysia,Southeastern Asia,42,6.084000111,1.29121542,1.284646034,0.6187844276,0.4022649825,0.4166089296,0.06560070813,2.004448891,2017,Wealthy
Nicaragua,Latin America and Caribbean,43,6.071000099,0.7372992039,1.28721571,0.6530959606,0.4475518465,0.301674217,0.1306879818,2.513930559,2017,Middle Income
Ecuador,Latin America and Caribbean,44,6.007999897,1.000820398,1.286168814,0.6856362224,0.4551981986,0.150112465,0.1401346475,2.290352583,2017,Middle Income
El Salvador,Latin America and Caribbean,45,6.002999783,0.9097844958,1.182125092,0.5960185528,0.4324525297,0.07825798541,0.08998095989,2.714593887,2017,Middle Income
Poland,Central and Eastern Europe,46,5.97300005,1.291787863,1.44571197,0.699475348,0.5203421116,0.1584659666,0.05930780619,1.797722816,2017,Wealthy
Uzbekistan,Central and Eastern Europe,47,5.971000195,0.7864410877,1.54896915,0.4982726276,0.6582486629,0.4159836471,0.2465282232,1.816913605,2017,Middle Income
Italy,Western Europe,48,5.964000225,1.395066619,1.444923282,0.8531443477,0.2564507127,0.1727896482,0.02802809142,1.813312054,2017,Wealthy
Russia,Central and Eastern Europe,49,5.962999821,1.281778097,1.469282389,0.5473493338,0.3737831116,0.05226382241,0.03296288103,2.205607414,2017,Wealthy
Belize,Latin America and Caribbean,50,5.955999851,0.907975316,1.081417799,0.450191766,0.5475093722,0.2400156409,0.09658107162,2.631955624,2017,Middle Income
Japan,Eastern Asia,51,5.920000076,1.416915178,1.436337829,0.9134758711,0.505625546,0.1205727682,0.1637607366,1.363223553,2017,Wealthy
Lithuania,Central and Eastern Europe,52,5.90199995,1.314582348,1.473516107,0.6289499402,0.2342317849,0.01016465668,0.01186564285,2.228440523,2017,Wealthy
Algeria,Middle East and Northern Africa,53,5.872000217,1.091864467,1.146217465,0.6175846457,0.2333358079,0.069436647,0.1460961103,2.567603827,2017,Middle Income
Latvia,Central and Eastern Europe,54,5.849999905,1.260748625,1.404714942,0.6385669708,0.3257079124,0.1530747861,0.07384272665,1.993655205,2017,Wealthy
South Korea,Eastern Asia,55,5.837999821,1.401678443,1.128274441,0.900214076,0.2579216659,0.2066743672,0.06328266859,1.880378008,2017,Wealthy
Moldova,Central and Eastern Europe,56,5.837999821,0.7288706303,1.251825571,0.5894652009,0.2407290488,0.2087791264,0.01009128615,2.807808399,2017,Middle Income
Romania,Central and Eastern Europe,57,5.824999809,1.217683911,1.15009129,0.6851583123,0.4570037425,0.1335199177,0.004387900699,2.176831484,2017,Middle Income
Bolivia,Latin America and Caribbean,58,5.822999954,0.833756566,1.227619052,0.4736302495,0.5587329268,0.2255607247,0.06047772616,2.443279028,2017,Middle Income
Turkmenistan,Central and Eastern Europe,59,5.822000027,1.130776763,1.493149161,0.4377260804,0.418271929,0.2499249876,0.2592703402,1.832909822,2017,Middle Income
Kazakhstan,Central and Eastern Europe,60,5.818999767,1.28455627,1.384369016,0.6060415506,0.4374542832,0.2019644231,0.1192828864,1.784892559,2017,Wealthy
North Cyprus,Western Europe,61,5.809999943,1.346911311,1.186303377,0.8346472383,0.4712036252,0.2668457031,0.1553533524,1.549157619,2017,Wealthy
Slovenia,Central and Eastern Europe,62,5.757999897,1.341205955,1.452518821,0.790828228,0.5725758076,0.2426490933,0.04512897879,1.313317299,2017,Wealthy
Peru,Latin America and Caribbean,63,5.715000153,1.035225272,1.218770385,0.6301661134,0.4500028789,0.1268197149,0.04704908654,2.20726943,2017,Middle Income
Mauritius,Sub-Saharan Africa,64,5.629000187,1.189395547,1.20956099,0.638007462,0.4912473261,0.3609337509,0.04218155518,1.697583914,2017,Middle Income
Cyprus,Western Europe,65,5.620999813,1.355938077,1.131363273,0.8447147012,0.3551115394,0.2712543011,0.0412379764,1.621249199,2017,Wealthy
Estonia,Central and Eastern Europe,66,5.611000061,1.32087934,1.4766711,0.6951683164,0.4791314304,0.0988908112,0.1832489222,1.357508659,2017,Wealthy
Belarus,Central and Eastern Europe,67,5.568999767,1.15655756,1.444945216,0.6377142668,0.2954002619,0.1551375091,0.1563138217,1.723232985,2017,Middle Income
Libya,Middle East and Northern Africa,68,5.525000095,1.101803064,1.35756433,0.5201690197,0.4657332301,0.1520736665,0.09261021018,1.835011244,2017,Middle Income
Turkey,Middle East and Northern Africa,69,5.5,1.198274374,1.337753177,0.6376056075,0.3007405996,0.04669304192,0.0996715799,1.879277945,2017,Middle Income
Paraguay,Latin America and Caribbean,70,5.493000031,0.9325373173,1.50728488,0.5792506933,0.4735077918,0.2241506577,0.09106591344,1.68533349,2017,Middle Income
"Hong Kong S.A.R., China",Eastern Asia,71,5.472000122,1.551674843,1.262790918,0.9430624247,0.4909686446,0.3744657934,0.2939337492,0.5546331406,2017,Wealthy
Philippines,Southeastern Asia,72,5.429999828,0.8576992154,1.253917575,0.4680090547,0.5852146745,0.1935134232,0.09933189303,1.972604752,2017,Middle Income
Serbia,Central and Eastern Europe,73,5.394999981,1.069317579,1.258189797,0.6507846713,0.2087155282,0.2201258838,0.04090378061,1.947084427,2017,Middle Income
Jordan,Middle East and Northern Africa,74,5.335999966,0.9910123944,1.239088893,0.6045900583,0.4184211493,0.1721704602,0.1198032722,1.791176558,2017,Middle Income
Hungary,Central and Eastern Europe,75,5.323999882,1.286011934,1.343133092,0.6877634525,0.1758635193,0.07840166241,0.03663693741,1.716459274,2017,Wealthy
Jamaica,Latin America and Caribbean,76,5.31099987,0.9255793095,1.368218064,0.6410223842,0.4743072391,0.2338183373,0.05526778102,1.612325668,2017,Middle Income
Croatia,Central and Eastern Europe,77,5.293000221,1.222556233,0.9679830074,0.7012885213,0.2557722926,0.2480029762,0.04310311005,1.854492426,2017,Middle Income
Kosovo,Central and Eastern Europe,78,5.278999805,0.9514843822,1.137853503,0.5414520502,0.2602879405,0.3199314475,0.05747161806,2.010540724,2017,Middle Income
China,Eastern Asia,79,5.272999763,1.081165791,1.160837412,0.7414155006,0.472787708,0.028806841,0.02279427461,1.764938593,2017,Middle Income
Pakistan,Southern Asia,80,5.269000053,0.7268835306,0.6726906896,0.4020477831,0.2352152616,0.3154460192,0.1243480667,2.79248929,2017,Middle Income
Indonesia,Southeastern Asia,81,5.262000084,0.9955385923,1.274444699,0.4923457205,0.4433234632,0.6117045879,0.01531713549,1.429476976,2017,Middle Income
Venezuela,Latin America and Caribbean,82,5.25,1.128431201,1.431337595,0.617144227,0.1539971232,0.0650196299,0.06449112296,1.789463758,2017,Middle Income
Montenegro,Central and Eastern Europe,83,5.236999989,1.121129036,1.238376498,0.6674646735,0.1949890554,0.1979110241,0.0881741941,1.729191542,2017,Middle Income
Morocco,Middle East and Northern Africa,84,5.235000134,0.8781145811,0.7748644352,0.597710669,0.4081583321,0.03220995516,0.08776318282,2.456189394,2017,Middle Income
Azerbaijan,Central and Eastern Europe,85,5.234000206,1.153601766,1.152400255,0.5407757759,0.3981558383,0.04526934028,0.1809875071,1.762481689,2017,Middle Income
Dominican Republic,Latin America and Caribbean,86,5.230000019,1.079373837,1.402416706,0.5748737454,0.5525898337,0.1869678497,0.1139452532,1.31946516,2017,Middle Income
Greece,Western Europe,87,5.227000237,1.289487481,1.239414573,0.8101989031,0.09573125094,0,0.04328977689,1.749221563,2017,Wealthy
Lebanon,Middle East and Northern Africa,88,5.224999905,1.074987531,1.129624248,0.7350810766,0.288515985,0.2644507587,0.03751382977,1.695073843,2017,Middle Income
Portugal,Western Europe,89,5.195000172,1.315175295,1.367043018,0.7958435416,0.4984652996,0.09510271251,0.01586945169,1.107682705,2017,Wealthy
Bosnia and Herzegovina,Central and Eastern Europe,90,5.18200016,0.9824094176,1.069335938,0.7051863074,0.2044031769,0.3288674951,0,1.892172575,2017,Middle Income
Honduras,Latin America and Caribbean,91,5.181000233,0.7305731177,1.143944979,0.5825694799,0.3480798602,0.2361888736,0.07334545255,2.065811157,2017,Middle Income
Macedonia,Central and Eastern Europe,92,5.175000191,1.064577937,1.207893014,0.6449481845,0.3259059787,0.2537609637,0.06027779356,1.617469311,2017,Middle Income
Somalia,Sub-Saharan Africa,93,5.151000023,0.02264318429,0.7211513519,0.1139891371,0.602126956,0.2916313112,0.2824103236,3.11748457,2017,Poor
Vietnam,Southeastern Asia,94,5.073999882,0.7885475755,1.277491331,0.6521689892,0.5710555911,0.2349680513,0.08763323724,1.462318659,2017,Middle Income
Nigeria,Sub-Saharan Africa,95,5.073999882,0.7837562561,1.215770483,0.05691573024,0.3949525654,0.2309471965,0.02612156607,2.365390539,2017,Middle Income
Tajikistan,Central and Eastern Europe,96,5.040999889,0.5247136354,1.271463275,0.5292351246,0.4715667069,0.2489976436,0.1463771462,1.84904933,2017,Poor
Bhutan,Southern Asia,97,5.011000156,0.8854163885,1.340126514,0.4958792925,0.5015376806,0.4740545452,0.1733803898,1.140184402,2017,Middle Income
Kyrgyzstan,Central and Eastern Europe,98,5.004000187,0.5962200761,1.394238591,0.5534577966,0.4549433887,0.4285803735,0.039439179,1.536723137,2017,Poor
Nepal,Southern Asia,99,4.961999893,0.4798201919,1.179283261,0.5041307807,0.4403059483,0.3940961659,0.07297554612,1.891241074,2017,Poor
Mongolia,Eastern Asia,100,4.954999924,1.027235866,1.493011236,0.5577834845,0.3941439688,0.3384642303,0.03290228918,1.111292362,2017,Middle Income
South Africa,Sub-Saharan Africa,101,4.828999996,1.054698706,1.384788632,0.1870800704,0.4792467356,0.1393623799,0.0725094974,1.510908604,2017,Middle Income
Tunisia,Middle East and Northern Africa,102,4.804999828,1.007265806,0.8683514595,0.613212049,0.2896806896,0.0496933572,0.08672314882,1.89025116,2017,Middle Income
Palestinian Territories,Middle East and Northern Africa,103,4.775000095,0.7162492275,1.155647159,0.5656669736,0.2547110617,0.1141731739,0.08928260207,1.878890276,2017,Middle Income
Egypt,Middle East and Northern Africa,104,4.735000134,0.9897018075,0.9974713922,0.5201872587,0.2821101546,0.1286314428,0.1143813655,1.702161074,2017,Middle Income
Bulgaria,Central and Eastern Europe,105,4.714000225,1.161459088,1.434379458,0.7082176805,0.2892317176,0.1131776944,0.01105153095,0.9961392879,2017,Middle Income
Sierra Leone,Sub-Saharan Africa,106,4.709000111,0.3684209287,0.984136045,0.005564753897,0.318697691,0.2930409014,0.07109517604,2.668459892,2017,Poor
Cameroon,Sub-Saharan Africa,107,4.695000172,0.5643053651,0.946018219,0.1328921169,0.4303887486,0.2362984568,0.05130663142,2.333645582,2017,Poor
Iran,Middle East and Northern Africa,108,4.691999912,1.156873107,0.711551249,0.6393331885,0.2493226081,0.3872429132,0.0487610735,1.498734951,2017,Middle Income
Albania,Central and Eastern Europe,109,4.644000053,0.9961927533,0.8036852479,0.7311597466,0.3814986348,0.2013129443,0.039864216,1.490441561,2017,Middle Income
Bangladesh,Southern Asia,110,4.607999802,0.5866829753,0.7351317406,0.5332410336,0.4783566594,0.1722553521,0.1237178594,1.978736162,2017,Poor
Namibia,Sub-Saharan Africa,111,4.573999882,0.9644343257,1.098470807,0.3386118114,0.5203035474,0.07713374496,0.09314697236,1.481890202,2017,Middle Income
Kenya,Sub-Saharan Africa,112,4.552999973,0.5604794621,1.067950726,0.3099883497,0.4527637661,0.4448603094,0.06464131922,1.651902199,2017,Poor
Mozambique,Sub-Saharan Africa,113,4.550000191,0.23430565,0.870701015,0.1066544354,0.4807910919,0.3222281039,0.1794363856,2.355650902,2017,Poor
Myanmar,Southeastern Asia,114,4.545000076,0.3671105504,1.123235941,0.3975225687,0.5144920349,0.838075161,0.1888162047,1.115290403,2017,Poor
Senegal,Sub-Saharan Africa,115,4.534999847,0.4793090224,1.179691911,0.4093628526,0.3779222667,0.1834688932,0.115460448,1.789646149,2017,Poor
Zambia,Sub-Saharan Africa,116,4.513999939,0.6364067793,1.003187299,0.2578358948,0.4616034925,0.2495801449,0.07821355015,1.826705456,2017,Middle Income
Iraq,Middle East and Northern Africa,117,4.497000217,1.102710485,0.9786131978,0.50118047,0.2885555327,0.199637264,0.1072157547,1.318907261,2017,Middle Income
Gabon,Sub-Saharan Africa,118,4.465000153,1.198210239,1.155620217,0.3565785885,0.312328577,0.04378537834,0.0760467872,1.322916269,2017,Middle Income
Ethiopia,Sub-Saharan Africa,119,4.460000038,0.3392338455,0.8646692038,0.3534097075,0.4088427424,0.3126507401,0.1654557139,2.015743732,2017,Poor
Sri Lanka,Southern Asia,120,4.440000057,1.009850144,1.259976387,0.6251308322,0.5612132549,0.4908635616,0.07365396619,0.4193892479,2017,Middle Income
Armenia,Central and Eastern Europe,121,4.375999928,0.9005967379,1.007483721,0.637524426,0.1983032674,0.08348809183,0.0266744215,1.521499157,2017,Middle Income
India,Southern Asia,122,4.315000057,0.7922212481,0.7543725967,0.4554276168,0.469987005,0.2315384895,0.09222688526,1.519117117,2017,Middle Income
Mauritania,Sub-Saharan Africa,123,4.291999817,0.6484572887,1.27203083,0.2853492796,0.09609804302,0.2018700242,0.1369570047,1.651637316,2017,Middle Income
Congo (Brazzaville),Sub-Saharan Africa,124,4.290999889,0.8089642525,0.832044363,0.2899574339,0.4350258708,0.1208521277,0.0796181336,1.724135637,2017,Middle Income
Georgia,Central and Eastern Europe,125,4.285999775,0.9506126642,0.570614934,0.6495469809,0.3094100356,0.05400881544,0.2516666353,1.500137806,2017,Middle Income
Congo (Kinshasa),Sub-Saharan Africa,126,4.28000021,0.0921023488,1.229023457,0.1914070249,0.2359613478,0.2464558333,0.06024135649,2.224958658,2017,Poor
Mali,Sub-Saharan Africa,127,4.190000057,0.4761804938,1.281473398,0.1693656743,0.3066137433,0.1833541989,0.1049702466,1.668190956,2017,Poor
Ivory Coast,Sub-Saharan Africa,128,4.179999828,0.6030489206,0.9047800303,0.04864216968,0.4477061927,0.2012374699,0.1300617754,1.844964266,2017,Middle Income
Cambodia,Southeastern Asia,129,4.168000221,0.6017650962,1.006238341,0.4297834039,0.6333758235,0.3859229684,0.06810595095,1.042941093,2017,Middle Income
Sudan,Sub-Saharan Africa,130,4.138999939,0.6595166922,1.21400857,0.2909208238,0.01499585528,0.1823174506,0.08984751999,1.68706584,2017,Middle Income
Ghana,Sub-Saharan Africa,131,4.119999886,0.6672248244,0.8736647367,0.2956377268,0.4230262935,0.2569239438,0.02533636987,1.577867508,2017,Middle Income
Ukraine,Central and Eastern Europe,132,4.096000195,0.8946519494,1.394537568,0.5759039521,0.1229747757,0.2700614631,0.02302947082,0.8143823147,2017,Middle Income
Uganda,Sub-Saharan Africa,133,4.080999851,0.3814307153,1.129827738,0.2176326066,0.4431859553,0.3257660568,0.05706971884,1.526362658,2017,Poor
Burkina Faso,Sub-Saharan Africa,134,4.032000065,0.3502277136,1.043280005,0.2158442587,0.324367851,0.2508646846,0.120328106,1.727212906,2017,Poor
Niger,Sub-Saharan Africa,135,4.027999878,0.1619253308,0.9930250049,0.268505007,0.3636586964,0.2286738455,0.1385729462,1.873983383,2017,Poor
Malawi,Sub-Saharan Africa,136,3.970000029,0.2334420383,0.5125688314,0.3150895834,0.4669146538,0.2871704698,0.07271165401,2.081786156,2017,Poor
Chad,Sub-Saharan Africa,137,3.936000109,0.4380129874,0.9538558722,0.04113471508,0.1623420268,0.2161138505,0.05358188227,2.071238041,2017,Poor
Zimbabwe,Sub-Saharan Africa,138,3.875,0.375846535,1.083095908,0.1967637539,0.336384207,0.1891434938,0.09537538141,1.597970247,2017,Poor
Lesotho,Sub-Saharan Africa,139,3.808000088,0.5210212469,1.190095186,0,0.3906612992,0.1574972719,0.11909464,1.42983532,2017,Poor
Angola,Sub-Saharan Africa,140,3.795000076,0.8584281802,1.10441196,0.04986866564,0,0.09792649001,0.0697203353,1.614482403,2017,Middle Income
Afghanistan,Southern Asia,141,3.79399991,0.4014772177,0.5815433264,0.1807467788,0.1061795205,0.3118709326,0.06115783006,2.150801182,2017,Poor
Botswana,Sub-Saharan Africa,142,3.766000032,1.122094154,1.221554995,0.3417555094,0.5051963329,0.09934844822,0.09858319908,0.3779137135,2017,Middle Income
Benin,Sub-Saharan Africa,143,3.657000065,0.4310854077,0.4352998435,0.2099302113,0.4259627759,0.2079484612,0.06092901528,1.885630965,2017,Poor
Madagascar,Sub-Saharan Africa,144,3.644000053,0.3058086932,0.9130203724,0.3752233088,0.1891967654,0.2087325305,0.0672319755,1.584612608,2017,Poor
Haiti,Latin America and Caribbean,145,3.602999926,0.3686102629,0.6404498219,0.27732113,0.03036985733,0.4892037809,0.09987214953,1.697167635,2017,Poor
Yemen,Middle East and Northern Africa,146,3.592999935,0.5916834474,0.935382247,0.3100809157,0.2494637221,0.1041252092,0.05676742271,1.345600605,2017,Poor
South Sudan,Sub-Saharan Africa,147,3.59100008,0.3972486258,0.6013231277,0.1634860039,0.1470624357,0.2856708169,0.1167935133,1.879567385,2017,Poor
Liberia,Sub-Saharan Africa,148,3.532999992,0.119041793,0.8721179366,0.2299181968,0.3328811824,0.2665498853,0.03894824907,1.673285961,2017,Poor
Guinea,Sub-Saharan Africa,149,3.506999969,0.2445499301,0.7912446856,0.1941291392,0.348587513,0.2648150921,0.1109376177,1.552311897,2017,Poor
Togo,Sub-Saharan Africa,150,3.494999886,0.3054447174,0.4318825305,0.2471055686,0.3804261386,0.1968961507,0.09566501528,1.837229252,2017,Poor
Rwanda,Sub-Saharan Africa,151,3.470999956,0.3687458932,0.9457070231,0.3264248073,0.581843853,0.2527560294,0.4552200139,0.5400612354,2017,Poor
Syria,Middle East and Northern Africa,152,3.461999893,0.7771531343,0.3961026073,0.5005333424,0.08153944463,0.4936637282,0.1513471305,1.061573505,2017,Middle Income
Tanzania,Sub-Saharan Africa,153,3.348999977,0.5111358762,1.041989803,0.3645092845,0.3900177777,0.3542563617,0.06603510678,0.6211304665,2017,Poor
Burundi,Sub-Saharan Africa,154,2.904999971,0.09162256867,0.6297935843,0.1516107917,0.0599007532,0.2044351846,0.08414794505,1.683024168,2017,Poor
Central African Republic,Sub-Saharan Africa,155,2.693000078,0,0,0.0187726859,0.2708420455,0.2808764875,0.05656507611,2.066004753,2017,Poor
Denmark,Western Europe,1,7.526,1.44178,1.16374,0.79504,0.57941,0.36171,0.44453,2.73939,2016,Wealthy
Switzerland,Western Europe,2,7.509,1.52733,1.14524,0.86303,0.58557,0.28083,0.41203,2.69463,2016,Wealthy
Iceland,Western Europe,3,7.501,1.42666,1.18326,0.86733,0.56624,0.47678,0.14975,2.83137,2016,Wealthy
Norway,Western Europe,4,7.498,1.57744,1.1269,0.79579,0.59609,0.37895,0.35776,2.66465,2016,Wealthy
Finland,Western Europe,5,7.413,1.40598,1.13464,0.81091,0.57104,0.25492,0.41004,2.82596,2016,Wealthy
Canada,North America,6,7.404,1.44015,1.0961,0.8276,0.5737,0.44834,0.31329,2.70485,2016,Wealthy
Netherlands,Western Europe,7,7.339,1.46468,1.02912,0.81231,0.55211,0.47416,0.29927,2.70749,2016,Wealthy
New Zealand,Australia and New Zealand,8,7.334,1.36066,1.17278,0.83096,0.58147,0.49401,0.41904,2.47553,2016,Wealthy
Australia,Australia and New Zealand,9,7.313,1.44443,1.10476,0.8512,0.56837,0.47407,0.32331,2.5465,2016,Wealthy
Sweden,Western Europe,10,7.291,1.45181,1.08764,0.83121,0.58218,0.38254,0.40867,2.54734,2016,Wealthy
Israel,Middle East and Northern Africa,11,7.267,1.33766,0.99537,0.84917,0.36432,0.32288,0.08728,3.31029,2016,Wealthy
Austria,Western Europe,12,7.119,1.45038,1.08383,0.80565,0.54355,0.32865,0.21348,2.69343,2016,Wealthy
United States,North America,13,7.104,1.50796,1.04782,0.779,0.48163,0.41077,0.14868,2.72782,2016,Wealthy
Costa Rica,Latin America and Caribbean,14,7.087,1.06879,1.02152,0.76146,0.55225,0.22553,0.10547,3.35168,2016,Middle Income
Puerto Rico,Latin America and Caribbean,15,7.039,1.35943,1.08113,0.77758,0.46823,0.22202,0.12275,3.0076,2016,Wealthy
Germany,Western Europe,16,6.994,1.44787,1.09774,0.81487,0.53466,0.30452,0.28551,2.50931,2016,Wealthy
Brazil,Latin America and Caribbean,17,6.952,1.08754,1.03938,0.61415,0.40425,0.15776,0.14166,3.50733,2016,Middle Income
Belgium,Western Europe,18,6.929,1.42539,1.05249,0.81959,0.51354,0.2424,0.26248,2.61355,2016,Wealthy
Ireland,Western Europe,19,6.907,1.48341,1.16157,0.81455,0.54008,0.44963,0.29754,2.15988,2016,Wealthy
Luxembourg,Western Europe,20,6.871,1.69752,1.03999,0.84542,0.5487,0.27571,0.35329,2.11055,2016,Wealthy
Mexico,Latin America and Caribbean,21,6.778,1.11508,0.7146,0.71143,0.37709,0.11735,0.18355,3.55906,2016,Middle Income
Singapore,Southeastern Asia,22,6.739,1.64555,0.86758,0.94719,0.4877,0.32706,0.46987,1.99375,2016,Wealthy
United Kingdom,Western Europe,23,6.725,1.40283,1.08672,0.80991,0.50036,0.50156,0.27399,2.14999,2016,Wealthy
Chile,Latin America and Caribbean,24,6.705,1.2167,0.90587,0.81883,0.37789,0.31595,0.11451,2.95505,2016,Middle Income
Panama,Latin America and Caribbean,25,6.701,1.18306,0.98912,0.70835,0.48927,0.2418,0.08423,3.00559,2016,Middle Income
Argentina,Latin America and Caribbean,26,6.65,1.15137,1.06612,0.69711,0.42284,0.10989,0.07296,3.12985,2016,Middle Income
